EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,DEG C
18SN19970924, A97, 4, 1, 14, 14, 2, 19970925, 0451, 70.5617, -141.7222, 490,    241.0,  -0.2206,  34.5444, 2,  34.5473, 2,    277.1, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    3.920, 2,    1.780, 2,    0.130, 2,    5.230, 2,   2180.6, 2,   2277.2, 2,  -0.2291
18SN19970924, A97, 4, 1, 11, 11, 2, 19970925, 0451, 70.5617, -141.7222, 490,    265.1,  -0.0355,  34.6150, 2,  34.6189, 2,    277.9, 2,    278.5, 2,    12.30, 2,    12.79, 2,     0.00, 2,     0.98, 2,    3.970, 2,    1.830, 2,    0.110, 2,    5.030, 2,   2165.2, 2,   2274.4, 3,  -0.0454
18SN19970924, A97, 4, 1, 9, 9, 2, 19970925, 0451, 70.5617, -141.7222, 490,    295.7,   0.1241,  34.6717, 2,  34.6707, 2,    281.5, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,    4.030, 2,    1.900, 2,    0.120, 2,    5.480, 2,   2160.1, 2,   2284.2, 2,   0.1126
18SN19970924, A97, 4, 1, 8, 8, 2, 19970925, 0451, 70.5617, -141.7222, 490,    295.8,   0.1329,  34.6731, 2,  34.6723, 2,    281.5, 2,    281.1, 2,    11.25, 2,    12.69, 2,     0.01, 2,     0.93, 2, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.1213
18SN19970924, A97, 4, 1, 10, 10, 2, 19970925, 0451, 70.5617, -141.7222, 490,    296.0,   0.1265,  34.6711, 2,  34.6708, 2,    281.5, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.1149
18SN19970924, A97, 4, 1, 7, 7, 2, 19970925, 0451, 70.5617, -141.7222, 490,    333.7,   0.2991,  34.7300, 2,  34.7315, 2,    282.6, 2,    285.4, 2,    10.10, 2,    12.64, 2,     0.01, 2,     0.90, 2,    3.990, 2,    1.760, 2,    0.170, 3,    4.980, 2,   2159.0, 2,   2287.5, 2,   0.2855
18SN19970924, A97, 4, 1, 6, 6, 2, 19970925, 0451, 70.5617, -141.7222, 490,    374.3,   0.4144,  34.7801, 2, -999.0000, 9,    287.9, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.3986
18SN19970924, A97, 4, 1, 5, 5, 2, 19970925, 0451, 70.5617, -141.7222, 490,    374.4,   0.4166,  34.7811, 2,  34.7807, 2,    287.9, 2,   -999.0, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9,  -999.00, 9, -999.000, 9, -999.000, 9, -999.000, 9, -999.000, 9,   -999.0, 9,   -999.0, 9,   0.4008
18SN19970924, A97, 4, 1, 4, 4, 2, 19970925, 0451, 70.5617, -141.7222, 490,    375.1,   0.4202,  34.7828, 2,  34.7821, 2,    288.3, 2,    289.7, 2,     8.75, 2,    12.58, 2,     0.01, 2,     0.87, 2,    4.010, 2,    1.900, 2,    0.090, 2,    5.470, 2,   2152.1, 2,   2287.0, 2,   0.4043
18SN19970924, A97, 4, 1, 3, 3, 2, 19970925, 0451, 70.5617, -141.7222, 490,    414.8,   0.4337,  34.8108, 2,  34.8112, 2,    291.1, 2,    292.1, 2,     8.32, 2,    12.57, 2,     0.02, 2,     0.86, 2,    3.960, 2,    1.697, 2,    0.130, 3,    4.857, 2,   2152.9, 2,   2293.7, 2,   0.4159
