BOTTLE,20180319PRINUNIVRMK
# Processed by CCHDO on 2021-05-17, no changes
# 03/09/2018 Initialized README file  
# Data source: J.Jackson 8/29/17  
# SHIP: R/V Knorr 
# Cruise:  
# Region: Davis Strait 
# EXPOCODE:316N20091006 
# DATES: 20091006 - 2009XXYY 
# Chief Scientist: Craig Lee 
# 99 stations with 24 place Rosette 
# CTD: Who - B. Petrie; Status - final 
# 	Includes: CTDSAL, CTDOXY 
# 	Temperature data are IPTS-68  
# 	CTDSAL are pSS-78   
# SALNTY: Who - ; Status -  
# 	Notes: 	no data in file 
# Nutrients: Who - K.Azetsu-Scott; Status - final   
#  	Includes: ammonium 
# 	Data are noisy. QC difficult 
# OXYGEN: Who - ; Status - 
# 	Notes: no data in file 
# TCARBN: Who - K.Azetsu-Scott; Status - final 
# 	Notes: 	Data are noisy. QC difficult 
# ALKALI: Who - K.Azetsu-Scott; Status - final 
# 	Notes: Data are noisy. QC difficult 
# O-18: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# These data should be cited as: 
# References that have used data from this cruise: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BTL_DATE,BTL_TIME
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,/MILLE,,,
  316N20091006, Davis,    10,  1, 358800,      2,2,20091008,2207, 66.9844, -57.6836,  867,    800.3,   1.2144,  34.5070,2,    34.95,2,    15.31,2,     0.08,2,     1.36,2,     0.18,2,   2215.0,2,   2271.3,2,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358801,      3,2,20091008,2207, 66.9844, -57.6836,  867,    701.2,   1.5195,  34.5203,2,    26.97,2,    18.33,2,     0.08,2,     1.35,2,     0.39,2,   2220.3,2,   -999.0,9,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358802,      4,2,20091008,2207, 66.9844, -57.6836,  867,    601.7,   1.5998,  34.4972,2,    22.34,2,    14.84,2,     0.08,2,     1.22,2,     0.26,2,   2218.9,2,   2251.9,2,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358803,      5,2,20091008,2207, 66.9844, -57.6836,  867,    501.4,   1.6360,  34.4576,2,    20.79,2,    16.01,2,     0.08,2,     1.23,2,      0.3,2,   2214.0,2,   2239.9,2,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358804,      6,2,20091008,2207, 66.9844, -57.6836,  867,    400.5,   1.6800,  34.3852,2,    15.75,2,    11.27,3,     0.08,2,     1.11,2,     0.17,2,   2191.8,2,   2260.8,2,    -0.20,2, 20091008,     2207
  316N20091006, Davis,    10,  1, 358805,      7,2,20091008,2207, 66.9844, -57.6836,  867,    300.6,   1.3729,  34.2246,2,    14.49,2,    13.60,2,     0.08,2,     1.15,2,     0.25,2,   2195.5,2,   2242.2,2,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358806,      8,2,20091008,2207, 66.9844, -57.6836,  867,    202.4,   0.0629,  33.9087,2,    12.22,2,    12.94,2,     0.10,2,     1.08,2,     0.55,2,   2159.4,2,   2242.3,2,  -999.00,9, 20091008,     2207
  316N20091006, Davis,    10,  1, 358807,      9,2,20091008,2207, 66.9844, -57.6836,  867,    103.5,  -1.6156,  33.4508,2,     6.92,2,     6.21,2,     0.08,2,     0.82,2,     0.52,2,   2169.3,2,   2252.6,2,    -1.24,2, 20091008,     2207
  316N20091006, Davis,    10,  1, 358808,     10,2,20091008,2207, 66.9844, -57.6836,  867,     53.8,   0.6059,  33.0388,2,     6.22,2,     4.35,2,     0.16,2,     0.67,2,     0.73,2,   2062.2,2,   2220.0,2,    -1.33,2, 20091008,     2207
  316N20091006, Davis,    10,  1, 358810,     12,2,20091008,2207, 66.9844, -57.6836,  867,     23.8,   2.3818,  32.8852,2,     1.89,2,     1.26,2,     0.16,2,     0.35,2,      0.7,2,   2054.9,2,   2166.6,2,    -0.96,2, 20091008,     2207
