EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,/MILLE,,/MILLE,/MILLE,,DEG C
58JH1092_1, AR18, 935, 1, 8, 8, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    199.7,   6.9530,  35.1547, 2,  35.1720, 2,    275.8, 2,     6.89, 2,    14.35, 2,     0.01, 2,     0.95, 2,   2139.3, 2,    371.5, 2,     6.93,   -999.0, 9,   -999.0,  -999.00, 9,   6.9343
58JH1092_1, AR18, 935, 1, 7, 7, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    300.1,   5.0100,  34.9820, 2, -999.0000, 9,    291.2, 2,     6.39, 2,    13.84, 2,     0.03, 2,     0.93, 2,   2137.2, 2,    356.1, 2,     4.99,   -999.0, 9,   -999.0,  -999.00, 9,   4.9863
58JH1092_1, AR18, 935, 1, 6, 6, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    401.7,   2.2160,  34.8550, 2, -999.0000, 9,    304.6, 2,     7.02, 2,    13.61, 2,     0.02, 2,     0.94, 2,   2146.7, 2,    346.6, 2,     2.19,   -999.0, 9,   -999.0,  -999.00, 9,   2.1929
58JH1092_1, AR18, 935, 1, 5, 5, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    598.7,   0.1030,  34.8931, 2,  34.9060, 2,    304.3, 2,     6.93, 2,    13.68, 2,     0.02, 2,     0.95, 2,   2155.9, 2,    338.2, 2,     0.08,   -999.0, 9,   -999.0,  -999.00, 9,   0.0779
58JH1092_1, AR18, 935, 1, 4, 4, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    794.5,  -0.3300,  34.9075, 2,  34.9100, 2,    303.8, 2,     8.03, 2,    13.97, 2,     0.01, 2,     0.98, 2,   2157.6, 2,    331.9, 2,    -0.36,   -999.0, 9,   -999.0,  -999.00, 9,  -0.3619
58JH1092_1, AR18, 935, 1, 3, 3, 2, 19920715, 1416, 63.4432, -6.9062, 1314,    989.2,  -0.5260,  34.9116, 2, -999.0000, 9,    301.5, 2,     8.82, 2,    14.11, 2,     0.01, 2,     0.98, 2,   2149.8, 2,    329.1, 2,    -0.57,   -999.0, 9,   -999.0,  -999.00, 9,  -0.5658
58JH1092_1, AR18, 935, 1, 2, 2, 2, 19920715, 1416, 63.4432, -6.9062, 1314,   1187.9,  -0.6790,  34.9151, 2, -999.0000, 9,    302.2, 2,     9.68, 2,    14.30, 2,     0.01, 2,     1.00, 2,   2147.3, 2,    326.9, 2,    -0.73,   -999.0, 9,   -999.0,  -999.00, 9,  -0.7275
58JH1092_1, AR18, 935, 1, 1, 1, 2, 19920715, 1416, 63.4432, -6.9062, 1314,   1288.2,  -0.7260,  34.9156, 2,  34.9130, 2,    303.3, 2,    10.02, 2,    14.50, 2,     0.02, 2,     1.00, 2,   2156.5, 2,    326.3, 2,    -0.78,   -999.0, 9,   -999.0,  -999.00, 9,  -0.7792
58JH1092_1, AR18, 936, 1, 12, 12, 3, 19920715, 1742, 63.2023, -7.8408, 740,      4.5,   9.6860,  35.1545, 2, -999.0000, 9,    305.8, 2,     1.11, 2,     4.44, 2,     0.09, 2,     0.36, 2,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   9.6855
58JH1092_1, AR18, 936, 1, 11, 11, 2, 19920715, 1742, 63.2023, -7.8408, 740,     25.2,   9.5760,  35.1564, 2, -999.0000, 9,    302.1, 2,     1.27, 2,     4.92, 2,     0.09, 2,     0.39, 2,   -999.0, 9,   -999.0, 9,  -999.00,   -999.0, 9,   -999.0,  -999.00, 9,   9.5732
