EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58AA19940826,   GNS,     4,  1,      3,2,19940828, 66.0000,   4.3170, 1302,    797.5,  -0.4673,  34.9028,2,  34.9050,2,    295.2,2,    298.1,2,     9.38,2,    13.69,2,     0.12,2,     1.12,2,   2157.9,2,   2340.1,3, -0.498392559
  58AA19940826,   GNS,     4,  1,      2,2,19940828, 66.0000,   4.3170, 1302,    996.9,  -0.7361,  34.9067,2,  34.9100,2,    296.4,2,    303.3,2,    10.88,2,    13.87,2,     0.08,2,     1.16,2,   2160.3,2,   2343.1,3, -0.774562345
  58AA19940826,   GNS,     4,  1,      1,2,19940828, 66.0000,   4.3170, 1302,   1269.3,  -0.9266,  34.9069,2,  34.9100,2,    299.6,2,    299.4,2,    16.31,2,    14.35,2,     0.10,2,     1.20,2,   2166.4,2,   2334.2,3, -0.976718904
  58AA19940826,   GNS,     5,  1,     12,2,19940828, 66.0070,   2.6530, 1800,      3.5,  13.0196,  34.8903,2,-999.0000,9,    273.9,2,    273.9,2,     1.28,2,     0.03,2,     0.07,2,     0.33,2,   2026.6,2,   2341.5,2,   13.0191221
  58AA19940826,   GNS,     5,  1,     11,2,19940828, 66.0070,   2.6530, 1800,     11.5,  12.8857,  34.8909,2,-999.0000,9,    276.6,2,    281.7,2,     1.52,2,     0.34,2,     0.08,2,     0.37,2,   2034.3,2,   2342.9,2,   12.8841401
  58AA19940826,   GNS,     5,  1,     10,2,19940828, 66.0070,   2.6530, 1800,     21.5,  10.8628,  35.0296,2,-999.0000,9,    283.5,2,    281.6,2,     2.86,2,     4.40,2,     0.25,2,     0.65,2,   2076.9,2,   2353.5,2,   10.8601907
  58AA19940826,   GNS,     5,  1,      9,2,19940828, 66.0070,   2.6530, 1800,     51.6,   8.5754,  35.2657,2,-999.0000,9,    270.8,2,    267.5,2,     5.46,2,    12.27,2,     0.09,2,     0.96,2,   2126.0,2,   2353.1,2,   8.56997992
  58AA19940826,   GNS,     5,  1,      8,2,19940828, 66.0070,   2.6530, 1800,     81.1,   8.0119,  35.2243,2,-999.0000,9,    275.8,2,    273.1,2,     6.16,2,    12.55,2,     0.11,2,     1.09,2,   2133.0,2,   2363.1,2,   8.00371371
  58AA19940826,   GNS,     5,  1,      7,2,19940828, 66.0070,   2.6530, 1800,    102.0,   7.3286,  35.1760,2,-999.0000,9,    282.2,2,   -999.0,9,     6.44,2,    12.79,2,     0.09,2,     1.00,2,   2138.3,2,   2343.2,2,   7.31882444
  58AA19940826,   GNS,     5,  1,      6,2,19940828, 66.0070,   2.6530, 1800,    200.6,   6.5914,  35.1485,2,-999.0000,9,    288.5,2,    286.6,2,     6.05,2,    12.88,2,     0.10,2,     1.00,2,   2140.8,2,   2337.2,3,   6.57317531
