EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,DEGC
  58JH19940525,   75N,   316,  1,     22,     12,2,19940528, 69.5000,   5.8333, 3222,      5.0,   6.5990,  35.0720,2,    320.4,2,     3.60,2,     6.40,2,     0.11,2,     0.57,2,   -999.0,9,   -999.0,9,   6.5996
  58JH19940525,   75N,   316,  1,     23,     11,2,19940528, 69.5000,   5.8333, 3222,     10.0,   6.5950,  35.0780,2,    320.9,2,     3.70,2,     6.40,2,     0.12,2,     0.58,2,   -999.0,9,   -999.0,9,   6.5991
  58JH19940525,   75N,   316,  1,     24,     10,2,19940528, 69.5000,   5.8333, 3222,     20.0,   6.5880,  35.0800,2,    320.4,2,     3.70,2,     6.30,2,     0.11,2,     0.58,2,   -999.0,9,   -999.0,9,   6.5882
  58JH19940525,   75N,   316,  1,     25,      9,2,19940528, 69.5000,   5.8333, 3222,     30.0,   6.5140,  35.1010,2,    320.0,2,     3.80,2,     6.60,2,     0.11,2,     0.59,2,   -999.0,9,   -999.0,9,   6.5073
  58JH19940525,   75N,   316,  1,     26,      8,2,19940528, 69.5000,   5.8333, 3222,     50.0,   5.8260,  35.0900,2,    342.7,2,     4.90,2,    11.20,2,     0.27,2,     0.85,2,   -999.0,9,   -999.0,9,   5.8258
  58JH19940525,   75N,   316,  1,     27,      7,2,19940528, 69.5000,   5.8333, 3222,     75.0,   5.6690,  35.0800,2,    295.9,2,     4.90,2,    12.20,2,     0.31,2,     0.89,2,   -999.0,9,   -999.0,9,   5.6638
  58JH19940525,   75N,   316,  1,     28,      6,2,19940528, 69.5000,   5.8333, 3222,    100.0,   5.5850,  35.0820,2,   -999.0,9,     4.90,2,    12.00,2,     0.36,2,     0.88,2,   -999.0,9,   -999.0,9,   5.5718
  58JH19940525,   75N,   316,  1,     29,      5,2,19940528, 69.5000,   5.8333, 3222,    150.0,   5.3190,  35.0530,2,    265.4,3,     5.10,2,    12.40,2,     0.16,2,     0.94,2,   -999.0,9,   -999.0,9,   5.3079
  58JH19940525,   75N,   316,  1,     30,      4,2,19940528, 69.5000,   5.8333, 3222,    200.0,   5.2030,  35.0720,2,    296.8,2,     5.10,2,    12.20,2,     0.10,2,     0.91,2,   -999.0,9,   -999.0,9,   5.1840
  58JH19940525,   75N,   316,  1,     31,      3,2,19940528, 69.5000,   5.8333, 3222,    300.0,   4.7620,  35.4310,2,    300.4,2,     5.20,2,    12.50,2,     0.07,2,     0.94,2,   -999.0,9,   -999.0,9,   4.7368
  58JH19940525,   75N,   316,  1,     32,      2,2,19940528, 69.5000,   5.8333, 3222,    400.0,   4.4790,  35.0670,2,    302.7,2,     5.20,2,    12.40,2,     0.04,2,     0.94,2,   -999.0,9,   -999.0,9,   4.4497
  58JH19940525,   75N,   316,  1,     33,      1,2,19940528, 69.5000,   5.8333, 3222,    500.0,   4.3730,  35.0650,2,    303.6,2,     5.20,2,    12.40,2,     0.02,2,     0.92,2,   -999.0,9,   -999.0,9,   4.3321
  58JH19940525,   75N,   317,  2,     34,     12,2,19940528, 70.0000,   5.0000, 3202,      2.0,   6.3810,  35.0830,2,   -999.0,9,     3.90,2,     6.90,2,     0.11,2,     0.60,2,   2102.0,2,   2374.0,3,   6.3798
  58JH19940525,   75N,   317,  2,     35,     11,2,19940528, 70.0000,   5.0000, 3202,      5.0,   6.3810,  35.0830,2,   -999.0,9,     4.00,2,     7.00,2,     0.11,2,     0.62,2,   2101.2,2,   2352.0,3,   6.3796
  58JH19940525,   75N,   317,  2,     36,     10,2,19940528, 70.0000,   5.0000, 3202,     10.0,   6.3750,  35.0830,2,    320.0,2,     4.00,2,     7.00,2,     0.11,2,     0.62,2,   2099.6,2,   2327.0,3,   6.3791
  58JH19940525,   75N,   317,  2,     37,      9,2,19940528, 70.0000,   5.0000, 3202,     20.0,   6.3740,  35.0860,2,    320.0,2,     4.00,2,     7.00,2,     0.11,2,     0.61,2,   2099.1,2,   2335.0,3,   6.3682
  58JH19940525,   75N,   317,  2,     38,      8,2,19940528, 70.0000,   5.0000, 3202,     30.0,   6.3380,  35.0830,2,    320.0,2,     4.00,2,     6.90,2,     0.11,2,     0.61,2,   2098.4,2,   2347.0,3,   6.3374
  58JH19940525,   75N,   317,  2,     39,      7,2,19940528, 70.0000,   5.0000, 3202,     50.0,   6.2010,  35.1030,2,    322.3,2,     4.20,2,     8.10,2,     0.13,2,     0.68,2,   2109.6,2,   2363.0,3,   6.1957
  58JH19940525,   75N,   317,  2,     40,      6,2,19940528, 70.0000,   5.0000, 3202,     75.0,   5.7980,  35.0830,2,    303.6,2,     4.70,2,    10.10,2,     0.20,2,     0.79,2,   2122.7,2,   2319.0,3,   5.7937
  58JH19940525,   75N,   317,  2,     41,      5,2,19940528, 70.0000,   5.0000, 3202,    100.0,   5.6270,  35.0960,2,   -999.0,9,     4.90,2,    11.50,2,     0.30,2,     0.86,2,   2126.8,2,   2350.0,3,   5.6217
  58JH19940525,   75N,   317,  2,     42,      4,2,19940528, 70.0000,   5.0000, 3202,    125.0,   5.4400,  35.0800,2,    298.6,2,     5.00,2,    11.90,2,     0.22,2,     0.86,2,   2129.0,2,   2338.0,3,   5.4298
  58JH19940525,   75N,   317,  2,     43,      3,2,19940528, 70.0000,   5.0000, 3202,    150.0,   5.1850,  35.0510,2,    298.6,2,     5.10,2,    12.30,2,     0.12,2,     0.89,2,   2133.7,2,   -999.0,9,   5.1681
  58JH19940525,   75N,   317,  2,     44,      2,2,19940528, 70.0000,   5.0000, 3202,    200.0,   5.1410,  35.0800,2,    303.2,2,     5.00,2,    11.60,2,     0.19,2,     0.86,2,   2134.7,2,   2318.0,3,   5.1241
  58JH19940525,   75N,   317,  2,     45,      1,2,19940528, 70.0000,   5.0000, 3202,    250.0,   4.9380,  35.0620,2,    297.3,2,     5.20,2,    12.50,2,     0.10,2,     0.90,2,   2131.6,2,   2380.0,3,   4.9204
  58JH19940525,   75N,   317,  1,     46,     12,2,19940528, 70.0000,   5.0000, 3202,    300.0,   4.8180,  35.0580,2,    299.1,2,     5.30,2,    12.80,2,     0.05,2,     0.94,2,   2129.8,2,   2300.0,3,   4.7967
