EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,,,DEG C
  90JS20080815,ISSS08,     8,  1,      5,2,20080824,   0, 73.5660, 130.0080,   24,     13.8,  -0.8000,  24.5000,2,-999.0000,9,    329.5,2,    28.30,2,     3.70,2,     0.30,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1991.5,2,   1997.3,2,   7.5200,2,    15.00
  90JS20080815,ISSS08,     8,  1,      4,2,20080824,   0, 73.5660, 130.0080,   24,     10.1,  -0.4000,  23.1000,2,-999.0000,9,    343.6,2,    28.50,2,     3.30,2,     0.30,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1925.7,2,   1940.4,2,   7.5200,2,    15.00
  90JS20080815,ISSS08,     8,  1,      3,2,20080824,   0, 73.5660, 130.0080,   24,      3.8,   9.5000,   5.3000,2,-999.0000,9,   -999.0,9,    36.40,2,     0.50,2,     0.01,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    839.4,2,    891.9,2,   7.5900,2,    15.00
  90JS20080815,ISSS08,     8,  1,      2,2,20080824,   0, 73.5660, 130.0080,   24,      4.1,   9.5000,   5.3000,2,-999.0000,9,    342.7,2,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,    15.00
  90JS20080815,ISSS08,     8,  1,      1,2,20080824,   0, 73.5660, 130.0080,   24,      2.3,   9.5000,   5.3000,2,-999.0000,9,    341.8,2,    36.20,2,     0.00,2,     0.00,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,    835.9,2,    874.8,2,   7.6000,2,    15.00
  90JS20080815,ISSS08,     9,  1,      6,2,20080825,   0, 73.3660, 129.9970,   33,     23.1,  -1.1000,  28.1000,2,-999.0000,9,    246.8,2,    29.10,2,     5.30,2,     0.79,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2217.4,2,   2141.8,2,   7.3600,2,    15.00
  90JS20080815,ISSS08,     9,  1,      5,2,20080825,   0, 73.3660, 129.9970,   33,     19.1,  -1.1000,  28.1000,2,-999.0000,9,    245.0,2,    29.80,2,     5.30,2,     0.79,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   2163.8,2,   2136.8,2,   7.3500,2,    15.00
  90JS20080815,ISSS08,     9,  1,      4,2,20080825,   0, 73.3660, 129.9970,   33,     15.1,  -1.2000,  25.0000,2,-999.0000,9,    383.5,2,    21.70,2,     2.40,2,     0.62,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1990.6,2,   2024.9,2,   7.6200,2,    15.00
  90JS20080815,ISSS08,     9,  1,      3,2,20080825,   0, 73.3660, 129.9970,   33,     10.5,  -0.5000,  20.9000,2,-999.0000,9,    383.2,2,    28.10,2,     1.50,2,     0.20,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1703.4,2,   1692.4,2,   7.5600,2,    15.00
  90JS20080815,ISSS08,     9,  1,      2,2,20080825,   0, 73.3660, 129.9970,   33,      4.0,   8.5000,   8.1000,2,-999.0000,9,   -999.0,9,    31.70,2,     0.40,2,     0.06,2,     -999,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1018.7,2,   1050.3,2,   7.6400,2,    15.00
